bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,hbi_status,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,beschreibungbestockung,anmerkung
140001,"Matthias Stade,  Alexander Griesbach",2012-05-15,-9,,,,,,,,,,,,,,,,,-9,1,7,2,4,3,3,1,1,1,,
140002,"Matthias Stade,  Alexander Griesbach",2012-05-15,-9,,,,,,,,,,,,,,,,,-9,1,8,2,2,6,3,1,1,1,,
140003,"Matthias Stade,  Alexander Griesbach",2012-05-15,-9,,,,,,,,,,,,,,,,,-9,1,6,1,2,-9,3,1,1,1,,
140004,"Matthias Stade,  Alexander Griesbach",2011-09-23,-9,,,,,,,,,,,,,,,,,-9,1,6,1,2,-9,2,1,1,1,,
140005,"Matthias Stade,  Alexander Griesbach",2012-04-26,-9,,,,,,,,,,,,,,,,,-9,1,7,1,2,-9,2,1,1,1,,
140006,"Matthias Stade,  Alexander Griesbach",2012-04-25,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,1,1,1,1,,
140007,"Matthias Stade,  Alexander Griesbach",2012-05-09,-9,,,,,,,,,,,,,,,,,-9,1,6,1,5,-9,3,1,1,1,,
140008,"Matthias Stade,  Alexander Griesbach",2012-05-09,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,1,1,1,1,,
140009,"Matthias Stade,  Alexander Griesbach",2012-05-11,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,2,1,1,1,begonnene Harzung bei stärkeren Kiefern am Stammfuss alt,
140010,"Matthias Stade,  Alexander Griesbach",2012-05-11,-9,,,,,,,,,,,,,,,,,-9,1,8,1,3,-9,2,1,1,2,,
140011,"Matthias Stade,  Alexander Griesbach",1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,3,3,3,Vorfeldbereich Tagebau Nochten; besucht am:11.05.2012,
140012,"Matthias Stade,  Alexander Griesbach",2012-04-25,-9,,,,,,,,,,,,,,,,,-9,1,2,1,4,-9,1,1,1,1,gezäunt,
140013,"Matthias Stade,  Alexander Griesbach",2012-05-10,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,1,1,1,2,,
140014,"Matthias Stade,  Alexander Griesbach",2012-05-10,-9,3,1,1982,129,1788,67,-2,-2,,,,,,,,,-9,1,2,1,2,-9,1,1,1,2,,
140015,"Matthias Stade,  Alexander Griesbach",2012-05-10,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,1,1,1,1,,
140016,"Matthias Stade,  Alexander Griesbach",2011-09-07,-9,,,,,,,,,,,,,,,,,-9,1,6,2,2,4,2,1,1,1,,
140017,"Matthias Stade,  Alexander Griesbach",2012-04-24,-9,,,,,,,,,,,,,,,,,-9,1,6,1,2,-9,3,1,1,1,,
140018,"Matthias Stade,  Alexander Griesbach",2012-04-24,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,2,1,1,1,,
140019,"Matthias Stade,  Alexander Griesbach",2012-04-26,-9,,,,,,,,,,,,,,,,,-9,1,5,2,3,2,2,1,1,1,,
140020,"Matthias Stade,  Alexander Griesbach",2012-04-26,-9,,,,,,,,,,,,,,,,,-9,1,2,1,1,-9,1,1,1,2,,
140021,"Matthias Stade,  Alexander Griesbach",2011-09-09,-9,,,,,,,,,,,,,,,,,-9,1,2,2,4,5,2,1,1,1,,
140022,"Matthias Stade,  Alexander Griesbach",2011-09-09,-9,1,1,2715,290,2718,340,-2,-2,,,,,,,,,-9,1,8,1,3,-9,2,1,1,1,,
140023,"Matthias Stade,  Alexander Griesbach",2011-11-15,-9,2,1,2795,7,2982,39,-2,-2,,,,,,,,,-9,1,8,1,2,-9,2,1,1,1,,
140024,"Matthias Stade,  Alexander Griesbach",2011-11-15,-9,1,1,1751,343,1290,291,-2,-2,,,,,,,,,-9,1,2,1,2,-9,1,1,1,1,,
140025,"Matthias Stade,  Alexander Griesbach",2011-11-15,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,2,1,1,1,,
140026,"Matthias Stade,  Alexander Griesbach",2011-08-12,-9,1,1,2022,313,2250,387,-2,-2,,,,,,,,,-9,1,8,1,2,-9,2,1,1,1,,
140027,"Matthias Stade,  Alexander Griesbach",2011-09-07,-9,3,1,2622,297,2466,336,-2,-2,3,1,1848,376,2340,52,-2,-2,-9,1,1,1,2,-9,2,1,1,1,,
140028,"Matthias Stade,  Alexander Griesbach",2011-08-31,-9,,,,,,,,,,,,,,,,,-9,1,3,1,4,-9,1,1,1,1,,
140029,"Matthias Stade,  Alexander Griesbach",2011-09-19,-9,3,1,2303,299,1944,363,-2,-2,,,,,,,,,-9,1,6,1,2,-9,3,1,1,1,,
140030,"Matthias Stade,  Alexander Griesbach",2011-08-17,-9,,,,,,,,,,,,,,,,,-9,1,2,1,3,-9,3,1,1,2,,
140031,"Matthias Stade,  Alexander Griesbach",2011-08-17,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,2,1,1,1,,
140032,"Matthias Stade,  Alexander Griesbach",2011-09-19,-9,,,,,,,,,,,,,,,,,-9,1,6,1,1,-9,3,1,1,1,,
140033,"Matthias Stade,  Alexander Griesbach",2011-08-10,-9,3,1,2276,221,2302,160,-2,-2,,,,,,,,,-9,1,1,1,6,-9,2,1,1,1,,
140034,"Matthias Stade,  Alexander Griesbach",2011-08-11,-9,,,,,,,,,,,,,,,,,-9,1,1,1,6,-9,1,1,1,1,Unterflurmarke lag in Bodengrube; an Stirnseite der Grube wieder gesetzt.,
140035,"Matthias Stade,  Alexander Griesbach",2011-08-18,-9,,,,,,,,,,,,,,,,,-9,1,1,1,6,-9,3,1,1,1,,
140036,"Matthias Stade,  Alexander Griesbach",2011-08-15,-9,,,,,,,,,,,,,,,,,-9,1,1,1,3,-9,1,1,1,1,,
140037,"Matthias Stade,  Alexander Griesbach",2011-08-18,-9,1,1,2910,48,2970,17,-2,-2,,,,,,,,,-9,1,1,1,2,-9,1,1,1,1,alte Schälschäden,
140038,"Matthias Stade,  Alexander Griesbach",2011-08-30,-9,,,,,,,,,,,,,,,,,-9,1,1,1,4,-9,1,1,1,1,"Unterflurmarke nicht vorhanden. Mittelpunkt nur durch Stäbchen markiert
Entfernung vom Zentralbaum (WZE-Nr. 174) 8,55m; Azimut 239 gon
+ WZE-Baum Nr. 36 Entfernung 10,35m; Azimut 98 gon
Inventur BZE 2 2011: Baumplotnummer 22 entspricht WZE-Baum32",
140039,"Matthias Stade,  Alexander Griesbach",2011-08-30,-9,2,1,2290,123,2347,82,-2,-2,,,,,,,,,-9,1,1,1,4,-9,1,1,1,1,,
140040,"Matthias Stade,  Alexander Griesbach",2011-09-05,-9,,,,,,,,,,,,,,,,,-9,1,1,1,4,-9,1,1,1,1,Frisch durchforstet,
140041,"Matthias Stade,  Alexander Griesbach",2011-09-05,-9,,,,,,,,,,,,,,,,,-9,1,1,1,5,-9,1,1,1,1,,
140042,"Matthias Stade,  Alexander Griesbach",2011-09-06,-9,3,1,2720,245,2980,299,-2,-2,,,,,,,,,-9,1,1,1,3,-9,1,1,1,1,,
140043,"Matthias Stade,  Alexander Griesbach",2011-09-06,-9,3,1,2537,146,1881,194,-2,-2,,,,,,,,,-9,1,6,1,1,-9,3,1,1,1,"keine Bodebgrube mehr  vorhanden. 
Messung bei Pinnoccio 2 (Zentralbaum Nr. 194 bzw. WZE Nr. 19 Rbu  Entfernung 324cm Azimut 135gon)",
140044,"Matthias Stade,  Alexander Griesbach",2011-09-05,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,1,1,1,1,,
140045,"Matthias Stade,  Alexander Griesbach",2011-09-22,-9,,,,,,,,,,,,,,,,,-9,1,1,1,3,-9,2,1,1,1,,
140046,"Matthias Stade,  Alexander Griesbach",2011-09-06,-9,3,1,2723,120,2980,146,-2,-2,,,,,,,,,-9,1,1,1,1,-9,3,1,1,1,,
140047,"Matthias Stade,  Alexander Griesbach",2011-09-22,-9,,,,,,,,,,,,,,,,,-9,1,1,2,4,2,1,1,1,1,,
140048,"Matthias Stade,  Alexander Griesbach",2011-09-22,-9,3,2,1555,6,2136,240,1123,143,,,,,,,,,-9,1,1,1,6,-9,3,2,1,1,,
140049,"Matthias Stade,  Alexander Griesbach",2011-09-20,-9,,,,,,,,,,,,,,,,,-9,1,1,1,1,-9,1,1,1,1,,
140050,"Matthias Stade,  Alexander Griesbach",2011-09-21,-9,,,,,,,,,,,,,,,,,-9,1,1,1,5,-9,2,1,1,2,noch nicht aufgearbeiteter Schnebruch/-wurf aus Winter 2010/2011,
140051,"Matthias Stade,  Alexander Griesbach",2011-09-21,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,1,1,1,1,,
140052,"Matthias Stade,  Alexander Griesbach",2011-09-21,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,2,1,1,1,,
140053,"Matthias Stade,  Alexander Griesbach",2012-05-29,-9,1,1,2998,22,2631,381,-2,-2,,,,,,,,,-9,1,6,1,4,-9,3,1,1,1,,
140054,"Matthias Stade,  Alexander Griesbach",2011-08-16,-9,3,1,2800,106,2806,150,-2,-2,,,,,,,,,-9,1,1,1,1,-9,2,1,1,1,,
140055,"Matthias Stade,  Alexander Griesbach",2011-08-16,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,3,1,1,1,,
140056,"Matthias Stade,  Alexander Griesbach",2011-11-14,-9,1,2,747,324,2141,208,1323,256,,,,,,,,,-9,1,1,1,1,-9,7,1,1,1,,
140057,"Matthias Stade,  Alexander Griesbach",2011-11-14,-9,,,,,,,,,,,,,,,,,-9,1,1,1,1,-9,2,1,1,1,,
140058,"Matthias Stade,  Alexander Griesbach",2011-11-14,-9,,,,,,,,,,,,,,,,,-9,1,1,1,1,-9,2,1,1,1,,
140059,"Matthias Stade,  Alexander Griesbach",2012-04-23,-9,,,,,,,,,,,,,,,,,-9,1,7,4,2,6,4,1,1,1,,
140060,"Matthias Stade,  Alexander Griesbach",2012-04-27,-9,,,,,,,,,,,,,,,,,-9,1,8,2,2,5,2,1,1,1,,
140061,"Matthias Stade,  Alexander Griesbach",2012-04-27,-9,,,,,,,,,,,,,,,,,-9,1,2,1,3,-9,2,1,1,1,,
140062,"Matthias Stade,  Alexander Griesbach",2012-05-16,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,1,1,1,1,,
140063,"Matthias Stade,  Alexander Griesbach",2012-05-16,-9,,,,,,,,,,,,,,,,,-9,1,2,1,4,-9,1,1,1,1,,
140064,"Matthias Stade,  Alexander Griesbach",2012-05-16,-9,,,,,,,,,,,,,,,,,-9,1,2,1,1,-9,1,1,1,2,,
140065,"Matthias Stade,  Alexander Griesbach",2012-05-07,-9,,,,,,,,,,,,,,,,,-9,1,8,1,2,-9,2,1,1,2,,
140066,"Matthias Stade,  Alexander Griesbach",2012-05-07,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,3,1,1,1,,
140067,"Matthias Stade,  Alexander Griesbach",2012-05-07,-9,1,1,1942,396,2581,40,-2,-2,,,,,,,,,-9,1,2,1,3,-9,2,1,1,1,,
140068,"Matthias Stade,  Alexander Griesbach",2012-04-23,-9,1,1,2355,30,2679,383,-2,-2,,,,,,,,,-9,1,1,1,1,-9,1,1,1,1,,
140089,"Matthias Stade,  Alexander Griesbach",2012-04-25,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,1,1,1,1,,
140102,"Matthias Stade,  Alexander Griesbach",2012-05-09,-9,,,,,,,,,,,,,,,,,-9,1,2,2,2,3,4,1,1,1,,
140175,"Matthias Stade,  Alexander Griesbach",2011-08-15,-9,,,,,,,,,,,,,,,,,-9,1,1,1,6,-9,2,1,1,1,,
140187,"Matthias Stade,  Alexander Griesbach",2011-08-29,-9,1,2,2430,171,2730,80,2980,121,,,,,,,,,-9,1,1,1,2,-9,3,1,1,1,,
140234,"Matthias Stade,  Alexander Griesbach",2011-09-20,-9,2,1,2285,155,2128,190,-2,-2,,,,,,,,,-9,1,1,1,1,-9,3,1,1,1,,
140252,"Matthias Stade,  Alexander Griesbach",2012-05-30,-9,,,,,,,,,,,,,,,,,-9,1,1,1,3,-9,1,1,1,1,,
140254,"Matthias Stade,  Alexander Griesbach",2012-04-27,-9,1,2,970,186,2522,313,2478,274,,,,,,,,,-9,1,8,3,5,1,3,1,1,1,,
140315,"Matthias Stade,  Alexander Griesbach",2012-05-29,-9,,,,,,,,,,,,,,,,,-9,1,6,1,2,-9,3,1,1,1,,
140316,"Matthias Stade,  Alexander Griesbach",2012-05-31,-9,1,1,2680,175,2503,134,-2,-2,,,,,,,,,-9,1,5,1,1,-9,2,1,1,1,,
140317,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,,
