id,kurz,lang,kombi_hori,gueltig_ab,gueltig_bis
-1,nicht erhoben,Merkmal nicht erhoben,-9,1998-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,-2,1998-01-01,
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",-1,1998-01-01,
a,a,anmoorig,a,1998-01-01,
a,a,bei Absonderungsgefüge,h,1998-01-01,
(b),(b),gebändert,b,1998-01-01,
d,d,"wasserstauend, dicht",s,1998-01-01,
e,e,"eluvial, ausgewaschen, sauergebleicht",a,1998-01-01,
f,f,fragmentiert,o,1998-01-01,
(f),(f),lockeres Gefüge (Lockerbraunerde),b,1998-01-01,
g,g,haftnässegeprägt,s,1998-01-01,
h,h,humifiziert,o,1998-01-01,
i,i,"initial, sehr schwach entwickelt",a,1998-01-01,
j,j,fersiallitisch,c,1998-01-01,
(k),(k),konkretioniert,b,1998-01-01,
l,l,"tonverarmt, lessiviert",a,1998-01-01,
(m),(m),"massiv, pedogen verfestigt",b,1998-01-01,
n,n,"neu, frisch, unverwittert",c,1998-01-01,
o,o,oxidiert,f,1998-01-01,
p,p,"bearbeitet, gepflügt",a,1998-01-01,
q,q,Knickhorizont,s,1998-01-01,
r,r,reduziert,f,1998-01-01,
s,s,sesquioxidangereichert,h,1998-01-01,
t,t,tonangereichert,b,1998-01-01,
t,t,geschrumpft,h,1998-01-01,
u,u,rubefiziert,b,1998-01-01,
v,v,vererdet (bei Torfen),h,1998-01-01,
v,v,verwittert,b,1998-01-01,
w,w,stauwasserleitend,s,1998-01-01,
(z),(z),"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht löslic",h,1998-01-01,
a,a,niedriger oxalatlöslicher Si-Gehalt,n,2022-01-01,
ff,ff,ff: Anteil organischer Feinsubstanz zwischen 10 und 30 Vol-% der Summe organischer Feinsubstanz und oberirdischen Pflanzenresten,o,2022-01-01,2022-01-01
hf,hf,hf: Anteil organischer Feinsubstanz zwi-schen 30 und 70 Vol-% der Summe or-ganischer Feinsubstanz und oberirdi-schen Pflanzenresten,o,2022-01-01,
f,f,"faserig, organische Substanz aus nicht oder nur schwach zersetzten Pflanzenres-ten, Pflanzenstrukturen deutlich erkenn-bar, Wasser beim Quetschen farblos bis braun, Rückstand nicht breiartig. Humi-fizierungsgrad nach von Post H1 bis H4",h,2022-01-01,
bh,bh,bh: bröckelig,o,2022-01-01,
kh,kh,kh: kompakt gelagert,o,2022-01-01,
sh,sh,"sh: scharfkantig, brechbar",o,2022-01-01,
vh,vh,vh: im Kontakt zu festem Gestein  oder Grobskelett,o,2022-01-01,
h,h,"humifiziert, an der Bodenoberfläche organische Substanz aus stark und sehr stark zersetzten Pflanzenresten, H8-H10",h,2022-01-01,
(k),(k),kultotroph,a,2022-01-01,
m,m,"mittel, organische Substanz aus mittel zersetzten Pflanzenresten, H5-H7",h,2022-01-01,
s,s,hoher oxalatlöslicher Si-Gehalt,n,2022-01-01,
u,u,"Sehr stark durchwurzelt, Anteil Feinwurzeldichte (< 2 mm) mehr als 50 Vol-%",o,2022-01-01,2022-01-01
(c),(c),"Carbonatangereichert, sekundär",g,2022-01-01,
w,w,zeitweilig grundwassererfüllt,f,2022-01-01,
(x),(x),biogen gemixt,a,2022-01-01,
(b),(b),gebändert,c,1998-01-01,
c,c,"Carbonatangereichert, sekundär",m,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",b,2022-01-01,
c,c,"Carbonatangereichert, sekundär",c,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",a,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",t,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",h,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",s,2022-01-01,
(e),(e),"eluvial, ausgewaschen, sauergebleicht",s,1998-01-01,
h,h,humos,a,1998-01-01,
h,h,humos,b,1998-01-01,
(h),(h),humushaltig,g,1998-01-01,
h,h,humus,f,1998-01-01,
i,i,"initial, sehr schwach entwickelt",f,1998-01-01,
(k),(k),konkretioniert,c,1998-01-01,
(k),(k),konkretioniert,g,1998-01-01,
k,k,kultotroph,h,2022-01-01,
(m),(m),"massiv, pedogen verfestigt",g,1998-01-01,
o,o,oxidiert,g,1998-01-01,
o,o,oxidiert,y,1998-01-01,
p,p,"bearbeitet, gepflügt",h,1998-01-01,
(r),(r),reduziert,s,1998-01-01,
r,r,reduziert,g,1998-01-01,
r,r,reduziert,h,1998-01-01,
r,r,reduziert,y,1998-01-01,
s,s,sesquioxidangereichert,b,1998-01-01,
(s),(s),sesquioxidangereichert,g,1998-01-01,
(t),(t),tonangereichert,c,1998-01-01,
u,u,rubefiziert,t,1998-01-01,
u,u,"Sehr stark durchwurzelt, Anteil Feinwurzeldichte (< 2 mm) mehr als 50 Vol-%",h,2022-01-01,
u,u,"Sehr stark durchwurzelt, Anteil Feinwurzeldichte (< 2 mm) mehr als 50 Vol-%",a,2022-01-01,
(v),(v),vererdet (bei Torfen),o,1998-01-01,2022-01-01
v,v,verwittert,t,1998-01-01,
v,v,verwittert,c,1998-01-01,
w,w,zeitweilig grundwassererfüllt,h,2022-01-01,
w,w,zeitweilig grundwassererfüllt,l,2022-01-01,2022-01-01
w,w,zeitweilig grundwassererfüllt,o,2022-01-01,2022-01-01
w,w,zeitweilig grundwassererfüllt,g,2022-01-01,
x,x,biogen gemixt,e,2022-01-01,2022-01-01
x,x,biogen gemixt,o,2022-01-01,2022-01-01
(z),(z),"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht löslic",g,1998-01-01,
ka,ka,"kultotroph, anmoorig",a,2022-01-01,
he,he,"humos, eluvial, ausgewaschen, sauergebleicht",a,2022-01-01,
ah,ah,"anmoorig, humos",a,2022-01-01,
ch,ch,"Carbonatangereichert, humos",a,2022-01-01,
eh,eh,"eluvial, ausgewaschen, sauergebleicht, humushaltig",a,2022-01-01,
ih,ih," initial, sehr schwach entwickelt, humos",a,2022-01-01,
lh,lh,"tonverarmt, lessiviert, humos",a,2022-01-01,
kh,kh,"kultotroph, humos",a,2022-01-01,
xh,xh,"biogen gemixt, humos",a,2022-01-01,
cxh,cxh,"Carbonatangereichert, biogen gemixt, humos",a,2022-01-01,
h<,h<,humos <,a,2022-01-01,
h>,h>,humos >,a,2022-01-01,
el,el,"eluvial, ausgewaschen, sauergebleicht, tonverarmt, lessiviert",a,2022-01-01,
hl,hl,"humos, tonverarmt, lessiviert",a,2022-01-01,
ap,ap,"anmoorig, bearbeitet, gepflügt",a,2022-01-01,
cp,cp,"Carbonatangereichert, bearbeitet, gepflügt",a,2022-01-01,
xp,xp,"biogen gemixt, bearbeitet, gepflügt",a,2022-01-01,
cxp,cxp,"Carbonatangereichert, biogen gemixt, bearbeitet, gepflügt",a,2022-01-01,
(<),(<),,a,2022-01-01,
(>),(>),,a,2022-01-01,
bh,bh,"gebändert, humos",b,2022-01-01,
sh,sh,"sesquioxidangereichert, humushaltig",b,2022-01-01,
bs,bs,"gebändert, sesquioxidangereichert",b,2022-01-01,
hs,hs,"humos, sesquioxidangereichert",b,2022-01-01,
ms,ms,"massiv, pedogen verfestigt, sesquioxidangereichert",b,2022-01-01,
bms,bms,"gebändert, massiv, pedogen verfestigt, sesquioxidangereichert",b,2022-01-01,
hms,hms,"humos, massiv, pedogen verfestigt, sesquioxidangereichert",b,2022-01-01,
vs,vs,"verwittert, sesquioxidangereichert",b,2022-01-01,
bt,bt,"gebändert, tonangereichert",b,2022-01-01,
ht,ht,"humos, tonangereichert",b,2022-01-01,
vt,vt,"verwittert, tonangereichert",b,2022-01-01,
ku,ku,"konkretioniert, rubefiziert",b,2022-01-01,
cv,cv,"Carbonatangereichert, sekundär, verwittert",b,2022-01-01,
fv,fv,"lockeres Gefüge, verwittert",b,2022-01-01,
hv,hv,"humos, verwittert",b,2022-01-01,
sv,sv,"sesquioxidangereichert, verwittert",b,2022-01-01,
hsv,hsv,"humos, sesquioxidangereichert, verwittert",b,2022-01-01,
tv,tv,"tonangereichert, verwittert",b,2022-01-01,
kc,kc,"konkretioniert, Carbonatangereichert, sekundär",c,2022-01-01,
tv,tv,"tonangereichert, verwittert",c,2022-01-01,
btv,btv,"gebändert, tonangereichert, verwittert",c,2022-01-01,
co,co,"Carbonatangereichert, sekundär, oxidiert",g,2022-01-01,
mco,mco,"massiv, pedogen verfestigt, Carbonatangereichert, sekundär, oxidiert",g,2022-01-01,
ho,ho,"humushaltig, oxidiert",g,2022-01-01,
so,so,"sesquioxidangereichert, oxidiert",g,2022-01-01,
kso,kso,"konkretioniert, sesquioxidangereichert, oxidiert",g,2022-01-01,
mso,mso,"massiv, pedogen verfestigt, sesquioxidangereichert, oxidiert",g,2022-01-01,
ro,ro,"reduziert, oxidiert",g,2022-01-01,
cro,cro,"Carbonatangereichert, sekundär, reduziert, oxidiert",g,2022-01-01,
hro,hro,"humushaltig, reduziert, oxidiert",g,2022-01-01,
zro,zro,"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, reduziert , oxidiert",g,2022-01-01,
cr,cr,"Carbonatangereichert, sekundär, reduziert",g,2022-01-01,
hr,hr,"humushaltig, reduziert",g,2022-01-01,
or,or,"oxidiert, reduziert",g,2022-01-01,
cor,cor,"Carbonatangereichert, sekundär, oxidiert",g,2022-01-01,
hor,hor,"humushaltig, oxidiert, reduziert",g,2022-01-01,
zr,zr,"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, reduziert",g,2022-01-01,
zor,zor,"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, oxidiert, reduziert",g,2022-01-01,
ca,ca,"Carbonatangereichert, sekundär, bei Absonderungsgefüge",h,2022-01-01,
za,za,"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, bei Absonderungsgefüge",h,2022-01-01,
cm,cm,"Carbonatangereichert, sekundär, mittel, organische Substanz aus mittel zersetzten Pflanzenresten",h,2022-01-01,
vm,vm,"vererdet (bei Torfen), mittel, organische Substanz aus mittel zersetzten Pflanzenresten, H5-H7",h,2022-01-01,
cvm,cvm,"Carbonatangereichert, sekundär, vererdet (bei Torfen), mittel, organische Substanz aus mittel zersetzten Pflanzenresten",h,2022-01-01,
cp,cp,"Carbonatangereichert, sekundär, bearbeitet, gepflügt",h,2022-01-01,
mp,mp,"mittel, organische Substanz aus mittel zersetzten Pflanzenresten, H5-H7, bearbeitet, gepflügt",h,2022-01-01,
cmp,cmp,"Carbonatangereichert, sekundär, mittel, organische Substanz aus mittel zersetzten Pflanzenresten, bearbeitet, gepflügt",h,2022-01-01,
vp,vp,"vererdet (bei Torfen), bearbeitet, gepflügt",h,2022-01-01,
cvp,cvp,"Carbonatangereichert, sekundär, vererdet (bei Torfen), bearbeitet, gepflügt",h,2022-01-01,
cr,cr,"Carbonatangereichert, sekundär, reduziert",h,2022-01-01,
zr,zr,"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, reduziert",h,2022-01-01,
ct,ct,"Carbonatangereichert, sekundär, geschrumpft",h,2022-01-01,
zt,zt,"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, geschrumpft",h,2022-01-01,
cv,cv,"Carbonatangereichert, sekundär, vererdet (bei Torfen)",h,2022-01-01,
cw,cw,"Carbonatangereichert, sekundär, zeitweilig grundwassererfüllt",h,2022-01-01,
zw,zw,"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, zeitweilig grundwassererfüllt",h,2022-01-01,
ha,ha,"humifiziert, an der Bodenoberfläche organische Substanz aus stark und sehr stark zersetzten Pflanzenresten, H8-H10, niedriger oxalatlöslicher Si-Gehalt",n,2022-01-01,
cd,cd,"Carbonatangereichert, sekundär, wasserstauend, dicht",s,2022-01-01,
rd,rd,"reduziert, wasserstauend, dicht",s,2022-01-01,
wd,wd,"stauwasserleitend, wasserstauend, dicht",s,2022-01-01,
dg,dg,"wasserstauend, dicht, haftnässegeprägt",s,2022-01-01,
cw,cw,"Carbonatangereichert, sekundär, stauwasserleitend",s,2022-01-01,
dw,dw,"wasserstauend, dicht, stauwasserleitend",s,2022-01-01,
ew,ew,"eluvial, ausgewaschen, sauergebleicht, stauwasserleitend",s,2022-01-01,
sw,sw,"hoher oxalatlöslicher Si-Gehalt, stauwasserleitend",s,2022-01-01,
rw,rw,"reduziert, stauwasserleitend",s,2022-01-01,
erw,erw,"eluvial, ausgewaschen, sauergebleicht, reduziert, stauwasserleitend",s,2022-01-01,
cv,cv,"Carbonatangereichert, sekundär, verwittert",t,2022-01-01,
(s),(s),hoher oxalatlöslicher Si-Gehalt,s,2022-01-01,
j,j,fersiallitisch,b,2022-01-01,
l,l,litter,o,2022-01-01,
wl,wl,wl: wasserbeinflusst,o,2022-01-01,
lf,lf,lf: makroskopisch erkennbarer Nadel- und Blattreste gegenüber Anteil organischer Feinsubstanz vorherrschend (10-<30 Vol.-%),o,2022-01-01,
df,df,df: starke Durchwurzelung (>=50 Vol.-%),o,2022-01-01,
wf,wf,wf: wasserbeeinflusst,o,2022-01-01,
dh,dh,dh: starke Durchwurzelung,o,2022-01-01,
ih,ih,ih: filmartig,o,2022-01-01,
wbh,wbh,"wbh: wasserbeeinflusst, biologisch aktiv",o,2022-01-01,
wsh,wsh,"wsh: wasserbeeinflusst, geringeNährstoffverfügbarkeit",o,2022-01-01,
xh,xh,xh: biogen gemixed,o,2022-01-01,
