bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
130010,Bettac / Priebe,44894,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,7,1,2,NA,3,1,1,1,NA
130013,Thiede / Martin,44901,Vertex VL 400,2,1,1881,9,1988,310,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,NA,2,1,1,1,NA
130014,Thiede / Martin,44900,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,1,1,1,NA
130017,Bettac / Priebe,44952,Vertex III,3,1,2009,90,1643,150,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,7,3,5,5,2,1,1,1,NA
130022,Bettac / Priebe,44896,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,1,1,1,NA
130023,Bettac / Priebe,44950,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,NA,2,1,1,1,NA
130026,Thiede / Martin,44964,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,2,3,1,1,1,NA
130027,Thiede / Martin,45000,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,5,3,3,1,1,1,1,NA
130028,Nowotny / Thiede / Martin,44888,Vertex VL 400,1,1,2752,210,2862,294,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,5,1,1,1,1,NA
130029,Bettac / Priebe,44949,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,1,1,1,NA
130032,Bettac / Priebe,44895,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,7,2,2,6,2,1,1,1,NA
130033,Bettac / Priebe,44950,Vertex III,1,1,3170,57,3040,88,NA,NA,3,1,2710,208,2100,253,NA,NA,1,2,1,2,NA,1,1,1,1,NA
130036,Thiede / Martin,44953,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,5,3,4,1,1,1,1,NA
130037,Thiede / Martin,44951,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,1,NA
130039,Thiede / Martin,45028,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,1,1,1,1,NA
130042,Bettac / Priebe,44951,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,4,3,4,1,1,1,1,NA
130044,Thiede / Martin,45034,Vertex VL 400,3,1,2981,355,2851,20,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,NA,1,1,1,1,NA
130046,Heuer / Ziegler,44910,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,6,2,1,1,1,NA
130047,Heuer / Ziegler,44907,Vertex III,1,1,3513,5,3313,358,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,1,1,1,1,NA
130048,Thiede / Martin,44944,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,1,2,1,1,1,NA
130050,Heuer / Ziegler,44901,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,6,1,1,1,1,NA
130051,Heuer / Ziegler,44907,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,6,1,1,1,1,NA
130052,Thiede / Martin,45029,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,NA,1,1,1,1,NA
130056,Heuer / Ziegler,44908,Vertex III,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,6,1,1,1,1,NA
130057,Heuer / Ziegler,44909,Vertex III,4,2,2876,258,3081,292,2185,313,0,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,NA,2,1,1,1,NA
130059,Thiede / Martin,44963,Vertex VL 400,3,1,1593,178,1743,335,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,1,1,1,1,1,NA
130060,Thiede / Martin,45014,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,1,1,1,NA
130061,Thiede / Martin,44946,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,NA,1,1,1,1,NA
130068,Thiede / Martin,45007,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,1,1,1,NA
130069,Thiede / Martin,44680,Vertex VL 400,3,1,2497,27,2218,73,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,8,1,2,NA,1,1,1,1,NA
130070,Thiede / Martin,44670,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,8,2,3,5,3,1,1,1,NA
130071,Jahns / Martin,44770,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,2,1,1,1,NA
130072,Thiede / Martin,44636,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,8,6,5,6,6,1,1,1,NA
130073,Dromm / Thiede / Martin,44663,Vertex VL 400,4,1,2910,250,2518,320,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,1,1,1,1,NA
130074,Thiede / Martin,44628,Vertex VL 400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,NA,2,1,1,2,NA
130075,Thiede / Martin,44747,Vertex VL 400,1,1,2280,186,2230,217,NA,NA,2,1,2550,13,2630,390,NA,NA,1,8,1,3,6,1,1,1,1,NA
130076,Jahns / Martin,44764,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,6,2,1,1,1,NA
130077,Thiede / Martin,44840,Vertex VL 400,2,1,2776,0,2901,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,1,1,1,NA
130078,Thiede / Martin,44872,Vertex VL 400,1,1,2805,0,2405,42,NA,NA,3,1,2812,94,2518,251,NA,NA,1,1,1,6,NA,7,1,1,1,NA
130079,Thiede / Martin,44735,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,6,2,1,1,1,NA
130080,Thiede / Martin,44693,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,1,1,1,1,NA
130081,Thiede / Martin,44692,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,5,4,3,1,1,1,1,NA
130082,Nowotny / Thiede / Martin,44678,Vertex VL 400,4,1,3000,97,3000,132,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,1,1,1,1,NA
130083,Jahns / Martin,44847,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,NA,1,1,1,1,NA
130084,Jahns / Martin,44753,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,2,1,1,1,NA
130088,Jahns / Martin,44769,Vertex VL 400,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,6,2,1,1,1,NA
130064,Thiede / Martin,NA,Vertex VL 400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
